UTR|RRN|TXN_DATE|TXN_TIME|AMOUNT|PAYER_VPA|PAYEE_VPA|STATUS
UTR000051|533324657049|20240201|140216|43841.87|deepa.joshi@ibl|petrol.pump@bpcl|SUCCESS
UTR000052|383665315248|20240201|124951|2787.58|suresh.pillai@axl|uber.pay@yp|SUCCESS
UTR000053|805064900838|20240201|105108|31088.73|rohit.mehta@ybl|uber.pay@yp|SUCCESS
UTR000054|508409709807|20240201|102108|5720.14|priya.sharma@ybl|uber.pay@yp|SUCCESS
UTR000055|416401521645|20240201|160937|38763.45|sneha.reddy@axl|petrol.pump@bpcl|SUCCESS
UTR000056|404608356405|20240201|102432|5551.18|priya.sharma@ybl|cloud.kitchen@swig|SUCCESS
UTR000057|769934643045|20240201|135325|41193.29|priya.sharma@ybl|uber.pay@yp|SUCCESS
UTR000058|713523953270|20240201|071742|18933.20|ananya.das@paytm|uber.pay@yp|PENDING
UTR000059|237616666535|20240201|102830|16372.80|rohit.mehta@ybl|apollo.med@ptyes|SUCCESS
UTR000060|535909139863|20240201|071013|10734.63|kavita.nair@oksbi|big.bazaar@fk|SUCCESS
UTR000061|131720497194|20240201|065002|7750.88|ananya.das@paytm|amazon.pay@apl|SUCCESS
UTR000062|875048139424|20240201|155351|3875.92|priya.sharma@ybl|cloud.kitchen@swig|SUCCESS
UTR000063|211246342404|20240201|070814|7783.70|rohit.mehta@ybl|amazon.pay@apl|SUCCESS
UTR000064|172192558193|20240201|175233|17849.57|vikram.singh@ibl|dominos.pizza@pine|SUCCESS
UTR000065|952369362433|20240201|150653|42673.38|vikram.singh@ibl|petrol.pump@bpcl|SUCCESS
UTR000066|650140623310|20240201|080202|11789.21|deepa.joshi@ibl|amazon.pay@apl|SUCCESS
UTR000067|831048895886|20240201|095212|20798.42|kavita.nair@oksbi|uber.pay@yp|SUCCESS
UTR000068|228612978569|20240201|131224|18083.76|rajesh.kumar@paytm|chai.point@icici|SUCCESS
UTR000069|738899113650|20240201|111340|22462.65|deepa.joshi@ibl|metro.store@mcdr|SUCCESS
UTR000070|326887129623|20240201|132857|48184.77|amit.verma@oksbi|amazon.pay@apl|SUCCESS
UTR000071|858970157185|20240201|071022|20698.08|rohit.mehta@ybl|big.bazaar@fk|SUCCESS
UTR000072|779534463664|20240201|084800|43521.12|ananya.das@paytm|apollo.med@ptyes|SUCCESS
UTR000073|757380628364|20240201|094356|8782.49|sneha.reddy@axl|uber.pay@yp|SUCCESS
UTR000074|731107689004|20240201|063055|37047.32|kavita.nair@oksbi|chai.point@icici|SUCCESS
UTR000075|656954584441|20240201|165631|18681.86|rohit.mehta@ybl|chai.point@icici|SUCCESS
UTR000076|891847492836|20240201|063456|38053.80|sneha.reddy@axl|dominos.pizza@pine|SUCCESS
UTR000077|485636189601|20240201|075347|45488.84|deepa.joshi@ibl|cloud.kitchen@swig|SUCCESS
UTR000078|834186318020|20240201|132504|40454.82|kavita.nair@oksbi|cloud.kitchen@swig|SUCCESS
UTR000079|960732800700|20240201|064807|39605.81|ananya.das@paytm|uber.pay@yp|SUCCESS
UTR000080|488208199289|20240201|171408|20841.95|rohit.mehta@ybl|big.bazaar@fk|SUCCESS
UTR000081|109659743055|20240201|174258|27255.77|kavita.nair@oksbi|petrol.pump@bpcl|SUCCESS
UTR000082|258381509238|20240201|111249|1710.62|rajesh.kumar@paytm|uber.pay@yp|SUCCESS
UTR000083|131621646922|20240201|211821|15632.56|suresh.pillai@axl|dominos.pizza@pine|SUCCESS
UTR000084|964030611535|20240201|070245|38341.70|kavita.nair@oksbi|jiomart@pinelabs|SUCCESS
UTR000085|939215310512|20240201|182906|15538.83|suresh.pillai@axl|big.bazaar@fk|SUCCESS
UTR000086|709498292406|20240201|103909|35958.80|rohit.mehta@ybl|amazon.pay@apl|SUCCESS
UTR000087|205717729373|20240201|112550|23630.14|rohit.mehta@ybl|jiomart@pinelabs|SUCCESS
UTR000088|839318221207|20240201|163429|4505.33|suresh.pillai@axl|chai.point@icici|SUCCESS
UTR000089|972498574335|20240201|133926|49887.13|amit.verma@oksbi|chai.point@icici|SUCCESS
UTR000090|643330361232|20240201|122222|7775.29|rajesh.kumar@paytm|dominos.pizza@pine|SUCCESS
UTR000091|866993557228|20240201|121849|18077.90|rajesh.kumar@paytm|metro.store@mcdr|SUCCESS
UTR000092|417533175780|20240201|171049|49794.83|ananya.das@paytm|amazon.pay@apl|SUCCESS
UTR000093|285145502323|20240201|102008|32717.31|priya.sharma@ybl|metro.store@mcdr|SUCCESS
UTR000094|844848492197|20240201|183131|45663.76|rajesh.kumar@paytm|cloud.kitchen@swig|SUCCESS
UTR000095|820523693334|20240201|160835|20088.88|kavita.nair@oksbi|cloud.kitchen@swig|SUCCESS
UTR000096|642965475535|20240201|132450|34097.95|rajesh.kumar@paytm|petrol.pump@bpcl|SUCCESS
UTR000097|813205548645|20240201|114308|39068.33|deepa.joshi@ibl|apollo.med@ptyes|SUCCESS
UTR000098|525434842579|20240201|144608|43149.45|sneha.reddy@axl|jiomart@pinelabs|SUCCESS
UTR000099|465718162803|20240201|195034|11224.98|ananya.das@paytm|dominos.pizza@pine|SUCCESS
UTR000100|108646469485|20240201|150427|33550.41|kavita.nair@oksbi|apollo.med@ptyes|SUCCESS
